"halk"->"tatlı":59 bin,"acı":212 bin,result:-0.6409140446112336
"sergile"->"tatlı":8 bin,"acı":141,result:1.6684406790119373
"birliktelik"->"tatlı":8 bin,"acı":14 bin,result:-0.32846824401092084
"hissî"->"tatlı":42 bin,"acı":110 bin,result:-0.5035735900849508
"aydın"->"tatlı":158 bin,"acı":164 bin,result:-0.10161695641790165
"süngü"->"tatlı":841,"acı":8 bin,result:-1.0637241865186577
"idol"->"tatlı":13 bin,"acı":5 bin,result:0.3295431526461916
"saka"->"tatlı":14 bin,"acı":16 bin,result:-0.1434221423023131
"rakım"->"tatlı":2 bin,"acı":670,result:0.3895249976385284
"taviz"->"tatlı":4 bin,"acı":11 bin,result:-0.524762889154889
"tel"->"tatlı":107 bin,"acı":30 bin,result:0.4668323276409209
"taç"->"tatlı":33 bin,"acı":14 bin,result:0.28695570887502314
"bellek"->"tatlı":12 bin,"acı":9 bin,result:0.039508541283673565
"tek"->"tatlı":423 bin,"acı":604 bin,result:-0.24012676657071585
"herkes"->"tatlı":172 bin,"acı":249 bin,result:-0.24610109551281376
"ter"->"tatlı":19 bin,"acı":39 bin,result:-0.3977412013982966
"tep"->"tatlı":2 bin,"acı":625,result:0.4197197829952796
"dumur"->"tatlı":619,"acı":2 bin,result:-0.5947695419684895
"hala"->"tatlı":254 bin,"acı":423 bin,result:-0.30693684607973065
"ten"->"tatlı":104 bin,"acı":1 milyon,result:-1.068396856025846
"garip"->"tatlı":91 bin,"acı":147 bin,result:-0.2937061377517089
"stabil"->"tatlı":2 bin,"acı":bin,result:0.21559980033935483
"cehalet"->"tatlı":bin,"acı":15 bin,result:-1.2615214543803075
"tez"->"tatlı":31 bin,"acı":46 bin,result:-0.2568263331719278
"yetiş"->"tatlı":21 bin,"acı":14 bin,result:0.09066106373105492
"törpüle"->"tatlı":47 bin,"acı":328,result:2.070793818899412
"eroinman"->"tatlı":2 bin,"acı":456,result:0.5566349576749199
"medeni"->"tatlı":6 bin,"acı":8 bin,result:-0.21036893193292627
"bağırsak"->"tatlı":29 bin,"acı":21 bin,result:0.05474850784041043
"üre"->"tatlı":3 bin,"acı":735,result:0.5254037203108411
"mantı"->"tatlı":128 bin,"acı":12 bin,result:0.9425985282756172
"ürk"->"tatlı":2 bin,"acı":bin,result:0.21559980033935483
"salata"->"tatlı":1 milyon,"acı":37 bin,result:1.3463680806083786
"sabıka"->"tatlı":2 bin,"acı":2 bin,result:-0.08543019532462635
"ezel"->"tatlı":11 bin,"acı":27 bin,result:-0.47540127432538865
"kışkırtı"->"tatlı":3,"acı":862,result:-2.5438162064296765
"hane"->"tatlı":11 bin,"acı":7 bin,result:0.1108644498193418
"enerji"->"tatlı":96 bin,"acı":53 bin,result:0.172565168114153
"majör"->"tatlı":4 bin,"acı":12 bin,result:-0.5625514500442889
"nasıp"->"tatlı":44 bin,"acı":27 bin,result:0.12665871700257378
"panzer"->"tatlı":373,"acı":425,result:-0.14211029356625024
"hani"->"tatlı":96 bin,"acı":162 bin,result:-0.3126739768276889
"zifirî"->"tatlı":7 bin,"acı":15 bin,result:-0.4164234143660508
"tunç"->"tatlı":35 bin,"acı":18 bin,result:0.20336534392234318
"nasıl"->"tatlı":2 milyon,"acı":2 milyon,result:-0.08543019532462635
"nasihat"->"tatlı":14 bin,"acı":12 bin,result:-0.018483405694013126
"tavla"->"tatlı":14 bin,"acı":5 bin,result:0.36172783601759284
"cep"->"tatlı":54 bin,"acı":47 bin,result:-0.025134293437375298
"bildik"->"tatlı":3 bin,"acı":14 bin,result:-0.7544369762832019
"golf"->"tatlı":16 bin,"acı":7 bin,result:0.27359174731704156
"flaş"->"tatlı":20 bin,"acı":20 bin,result:-0.08543019532462635
"puanla"->"tatlı":2 bin,"acı":4 bin,result:-0.38646019098860757
"dolgu"->"tatlı":18 bin,"acı":9 bin,result:0.21559980033935483
"artistik"->"tatlı":2 bin,"acı":3 bin,result:-0.2615214543803076
"üst"->"tatlı":127 bin,"acı":161 bin,result:-0.1884523504005192
"saklı"->"tatlı":30 bin,"acı":39 bin,result:-0.19937354763146312
"İsveçli"->"tatlı":16 bin,"acı":8 bin,result:0.21559980033935483
"kanepe"->"tatlı":72 bin,"acı":12 bin,result:0.6927210550590173
"salt"->"tatlı":9 bin,"acı":15 bin,result:-0.30727894494098273
"ertesi"->"tatlı":31 bin,"acı":42 bin,result:-0.2173177918882541
"hami"->"tatlı":6 bin,"acı":4 bin,result:0.09066106373105492
"tematik"->"tatlı":539,"acı":381,result:0.06523359418649306
"fantazi"->"tatlı":26 bin,"acı":25 bin,result:-0.06839685602584597
"halt"->"tatlı":9 bin,"acı":6 bin,result:0.09066106373105492
"avare"->"tatlı":4 bin,"acı":4 bin,result:-0.08543019532462635
"biseksüel"->"tatlı":18 bin,"acı":10 bin,result:0.16984230977867976
